City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
56,Kodiak,US,2022-06-21 04:38:00,57.79,-152.4072,54.91400000000003,71,0,2.57,clear sky
57,Buraydah,SA,2022-06-21 04:33:56,26.326,43.975,90.05000000000001,11,0,2.45,clear sky
58,Bambous Virieux,MU,2022-06-21 04:38:01,-20.3428,57.7575,70.21400000000003,56,20,3.6,few clouds
59,Bredasdorp,ZA,2022-06-21 04:38:02,-34.5322,20.0403,52.214000000000034,96,62,0.74,broken clouds
60,Aklavik,CA,2022-06-21 04:38:03,68.2191,-135.0107,53.366000000000014,66,92,3.47,overcast clouds
61,Tiksi,RU,2022-06-21 04:38:04,71.6872,128.8694,45.104000000000056,51,25,3.45,scattered clouds
62,Eureka,US,2022-06-21 04:38:04,40.8021,-124.1637,57.92000000000006,80,4,4.39,clear sky
63,Abu Samrah,SY,2022-06-21 04:38:05,35.3029,37.1841,72.66200000000006,56,0,8.81,clear sky
64,Touros,BR,2022-06-21 04:38:05,-5.1989,-35.4608,74.01200000000006,89,30,4.6,scattered clouds
65,Khatanga,RU,2022-06-21 04:38:06,71.9667,102.5,56.66000000000008,61,100,2.51,overcast clouds
66,Cefalu,IT,2022-06-21 04:38:07,38.0386,14.0229,75.542,63,0,0.89,clear sky
67,Hasaki,JP,2022-06-21 04:38:07,35.7333,140.8333,82.79600000000005,87,100,5.54,overcast clouds
68,Ilulissat,GL,2022-06-21 04:38:08,69.2167,-51.1,33.81800000000008,93,100,3.6,overcast clouds
69,Mar Del Plata,AR,2022-06-21 04:38:09,-38.0023,-57.5575,47.94800000000002,79,0,1.79,clear sky
70,Seymchan,RU,2022-06-21 04:38:09,62.8833,152.4333,44.76200000000006,88,100,5.58,moderate rain
71,Arraial Do Cabo,BR,2022-06-21 04:34:31,-22.9661,-42.0278,67.96400000000003,88,40,4.12,scattered clouds
72,Uglegorsk,RU,2022-06-21 04:38:11,49.0833,142.0333,54.96800000000009,82,89,1.89,overcast clouds
73,Saint-Philippe,RE,2022-06-21 04:38:12,-21.3585,55.7679,66.11000000000008,72,48,3.74,scattered clouds
74,Mataura,NZ,2022-06-21 04:38:13,-46.1927,168.8643,41.48600000000007,92,0,0.77,clear sky
75,Anadyr,RU,2022-06-21 04:38:13,64.75,177.4833,61.30400000000006,59,20,6.0,light rain
76,Alta Floresta,BR,2022-06-21 04:38:14,-9.8756,-56.0861,65.984,57,3,1.31,clear sky
77,Westport,US,2022-06-21 04:38:15,41.1415,-73.3579,66.88399999999999,82,0,2.06,clear sky
78,Torbay,CA,2022-06-21 04:35:33,47.6666,-52.7314,59.288000000000046,94,100,7.72,light rain
79,Kitami,JP,2022-06-21 04:38:16,43.8031,143.8908,56.66000000000008,71,67,3.94,broken clouds
80,Luderitz,NA,2022-06-21 04:38:16,-26.6481,15.1594,56.714000000000034,62,96,5.64,overcast clouds
81,La Ronge,CA,2022-06-21 04:38:17,55.1001,-105.2842,61.05200000000008,82,75,3.09,broken clouds
82,Mahebourg,MU,2022-06-21 04:38:18,-20.4081,57.7,70.25,56,20,3.6,few clouds
83,New Norfolk,AU,2022-06-21 04:38:18,-42.7826,147.0587,57.92000000000006,74,100,0.45,overcast clouds
84,Atar,MR,2022-06-21 04:38:19,20.5169,-13.0499,77.36000000000008,73,68,1.64,broken clouds
85,Saint-Pierre,RE,2022-06-21 04:38:19,-21.3393,55.4781,70.91600000000001,63,0,3.6,clear sky
86,Bluff,NZ,2022-06-21 04:38:20,-46.6,168.3333,41.81000000000008,83,0,2.08,clear sky
87,Georgetown,MY,2022-06-21 04:37:55,5.4112,100.3354,85.892,78,40,2.57,scattered clouds
88,Kerman,IR,2022-06-21 04:38:20,30.2832,57.0788,80.45600000000003,18,0,3.09,clear sky
89,Kulhudhuffushi,MV,2022-06-21 04:38:21,6.6221,73.07,82.86800000000008,74,99,6.51,overcast clouds
90,Hermanus,ZA,2022-06-21 04:38:22,-34.4187,19.2345,48.794000000000075,83,73,3.34,broken clouds
91,Vendome,FR,2022-06-21 04:38:22,47.8,1.0667,59.288000000000046,99,100,4.23,overcast clouds
92,Inhambane,MZ,2022-06-21 04:39:23,-23.865,35.3833,62.58200000000002,88,40,1.54,scattered clouds
93,Cidreira,BR,2022-06-21 04:34:32,-30.1811,-50.2056,59.486000000000075,82,84,5.12,broken clouds
94,Tautira,PF,2022-06-21 04:39:24,-17.7333,-149.15,79.44800000000004,73,49,4.87,scattered clouds
95,Cape Town,ZA,2022-06-21 04:37:10,-33.9258,18.4232,58.91000000000008,80,0,4.02,clear sky
96,Chuy,UY,2022-06-21 04:39:25,-33.6971,-53.4616,47.46200000000006,85,100,2.35,overcast clouds
97,Wadi Maliz,TN,2022-06-21 04:39:26,36.4681,8.5495,78.13399999999999,45,0,1.18,clear sky
98,Lagoa,PT,2022-06-21 04:39:26,39.05,-27.9833,63.518000000000086,85,82,8.5,broken clouds
99,Cabo San Lucas,MX,2022-06-21 04:39:26,22.8909,-109.9124,81.69800000000004,77,90,2.24,overcast clouds
100,Takaka,NZ,2022-06-21 04:39:27,-40.85,172.8,49.55,75,31,0.34,scattered clouds
101,Jamestown,US,2022-06-21 04:39:28,42.097,-79.2353,64.70600000000003,81,40,4.12,scattered clouds
102,Faanui,PF,2022-06-21 04:39:29,-16.4833,-151.75,79.7,78,25,5.06,moderate rain
103,Algiers,DZ,2022-06-21 04:39:15,36.7525,3.042,71.42000000000007,64,20,2.06,few clouds
